"","X","Y","TP","TN","NTU","Sample","Flow"
"1168",13165.78125,1,0.19,1.7,642,"A",104.15
"1169",13165.8541666667,1,NA,NA,131,"A",92.48
"1170",13165.90625,1,NA,NA,461,"A",85.07
"1173",13166.0416666667,1,NA,NA,83.5,"C",69.58
"1174",13166.1041666667,1,NA,NA,166,"A",65.21
"1175",13166.2291666667,1,NA,NA,130,"A",59.39
"1176",13166.6041666667,1,NA,NA,91.1,"A",116.55
"1177",13166.7291666667,1,NA,NA,112,"A",137.05
"1178",13166.8125,1,NA,NA,63.9,"C",142.45
"1179",13166.8541666667,1,NA,NA,96.6,"A",142.48
"1180",13166.9791666667,1,0.12,1.3,93.1,"A",133.68
"1181",13167.2291666667,1,NA,NA,96.8,"A",108.26
"1182",13167.4791666667,1,NA,NA,88.3,"A",86.17
"1183",13167.6041666667,1,NA,NA,72.2,"A",78.17
"1184",13167.7291666667,1,NA,NA,71.8,"A",71.2
"1185",13167.8541666667,1,NA,NA,72.1,"A",65.66
"1186",13167.9791666667,1,0.07,1.1,49.2,"A",62.41
"1187",13168.2083333333,1,NA,NA,22.6,"A",57.12
"1188",13168.2916666667,1,0.12,1,27.6,"A",55.02
"1189",13168.4583333333,1,NA,NA,18.8,"A",51.33
"1190",13168.5833333333,1,0.12,1,20.6,"A",50.12
"1191",13168.7083333333,1,NA,NA,27.3,"A",48.69
"1192",13168.8333333333,1,0.13,1,41.2,"A",46.94
"1193",13168.9583333333,1,NA,NA,26.8,"A",44.9
"1194",13169.0833333333,1,0.11,1,23,"A",42.3
"1195",13169.2083333333,1,NA,NA,23.6,"A",39.32
"1196",13169.2916666667,1,0.13,0.9,26.7,"A",36.71
"1197",13169.4583333333,1,NA,NA,30.7,"A",32.87
"1198",13169.5833333333,1,0.1,0.8,23.5,"A",30.66
"1199",13169.7083333333,1,NA,NA,22.6,"A",28.75
"1200",13169.8333333333,1,0.12,1,14.4,"A",27.08
"1201",13169.9583333333,1,NA,NA,25.2,"A",26.12
"1202",13170.0833333333,1,0.09,1,17.1,"A",24.58
"1203",13170.2083333333,1,NA,NA,22,"A",22.95
"1204",13170.3333333333,1,0.09,0.9,15.5,"A",21.44
"1205",13170.4583333333,1,NA,NA,18.4,"A",20.09
"1206",13170.5833333333,1,0.07,0.8,21.1,"A",19.03
"1207",13170.7083333333,1,NA,NA,23.9,"A",18.12
"1208",13170.8333333333,1,0.1,1,14.4,"A",17.36
"1209",13170.90625,1,0.06,0.9,13,"A",17.25
"1210",13170.9583333333,1,NA,NA,17,"A",17
"1211",13171.03125,1,NA,NA,9.16,"A",16.49
"1212",13171.15625,1,0.1,1.2,13.6,"A",15.69
"1213",13171.28125,1,NA,NA,19.7,"A",14.68
"1214",13171.34375,1,NA,NA,7.63,"A",14.2
"1215",13171.53125,1,NA,NA,15.2,"A",13.04
"1216",13171.65625,1,0.06,0.9,13.8,"A",12.61
"1217",13171.78125,1,NA,NA,9.95,"A",12.28
"1218",13171.90625,1,0.06,0.9,12.1,"A",11.94
"1219",13172.03125,1,NA,NA,9.57,"A",11.68
"1220",13172.15625,1,0.07,0.9,17,"A",11.21
"1221",13172.28125,1,NA,NA,10.9,"A",10.83
"1222",13172.40625,1,0.05,0.8,13.3,"A",10.47
"1223",13201.5833333333,1,0.04,0.6,33,"R",1.14
"1224",13236.5833333333,1,0.01,0.4,10.9,"R",0.26
"1225",13258.5833333333,1,0.01,0.4,8.2,"R",0.44
"1228",13314.2083333333,1,0.01,0.3,5.7,"D",2.45
"1229",13314.25,1,0.01,0.3,5.7,"R",2.4
"1230",13340.5833333333,1,0.01,0.6,7.32,"R",2.36
"1231",13366.5833333333,1,0.01,0.6,11.9,"R",6.3
"1232",13395.5833333333,1,0.01,0.5,18.2,"R",5.33
"1234",13398.5625,1,0.08,0.9,NA,"A",10.37
"1235",13423.5833333333,1,0.01,0.8,10.6,"R",0.71
"1236",13467.5833333333,1,0.03,0.4,10.7,"R",0.26
"1239",13509.5833333333,1,0.01,0.4,9.4,"R",0.08
"1240",13545.5833333333,1,0.02,0.6,10.9,"R",0
"1241",13564.9895833333,1,NA,NA,35.1,"A",10.8
"1242",13565,1,0.05,0.9,38.2,"A",10.7
"1243",13565.03125,1,0.06,0.7,17.9,"R",10.33
"1244",13572.2604166667,1,0.01,1.1,39.3,"A",16.68
